t                            N(t)               C(t)

For case 1

10.0               -0.0006884702526876418               3.0715171799096277



For case 6

0.0               100.0               6.0
0.1               131.18428846466898               62.1479227839072
0.2               30.043187550320578               340.6537884568584
0.3               1.1299535757983161               384.90384300600084
0.4               0.04364530069819438               364.88253848057866
0.5               0.002083177519079782               343.7259039764722
0.6               0.00012217294475161427               323.71327624520706
0.7               8.702003505301568e-06               304.86194081528635
0.8               7.437810896795173e-07               287.10818183212876
0.9               7.564692184025133e-08               270.38830554413147
1.0               8.807421367598139e-09               254.64211853760875
1.1               5.797437250929857e-10               239.81291536396967
1.2               4.3942343142814385e-09               225.84729668358003
1.3               -1.3067839376870596e-09               212.69497351021352
1.4               3.2407120441785385e-09               200.30858193055738
1.5               -1.6056050959428541e-09               188.6435177432396
1.6               1.5084929901714196e-09               177.65777391326517
1.7               3.582994816497638e-10               167.31179051851024
1.8               2.486414701714877e-10               157.56831024678576
1.9               1.4814366940716806e-10               148.39224607542332
2.0               3.346253544045885e-11               139.7505542937937
2.1               -1.5402850099818492e-11               131.6121150478024
2.2               -1.0635635505616757e-10               123.9476221828093
2.3               1.9553002002382762e-10               116.72947533612395
2.4               3.75070781643624e-10               109.93168004869695
2.5               9.877459505444076e-11               103.52975748714957
2.6               8.257401028283949e-11               97.50065386883227
2.7               1.787522163000248e-10               91.82265801310527
2.8               1.0937801349035189e-10               86.47532365050964
2.9               -4.359515256894412e-10               81.43939261630729
3.0               -7.598362163317914e-10               76.69673068764344
3.1               -3.4400768641007304e-10               72.23026045977379
3.2               1.2222743199398786e-11               68.0238972484594
3.3               -2.6049387344256195e-10               64.06249381973511
3.4               -3.845736653054922e-10               60.33178457942785
3.5               -3.344535880703765e-10               56.81833484137146
3.6               -2.8462821406440505e-10               53.5094925784411
3.7               -2.4313488428658667e-10               50.39334226119591
3.8               -2.7880920131962356e-10               47.45866242061181
3.9               -3.142830855409679e-10               44.694885025986885
4.0               -3.299239229094e-10               42.092057402353646
4.1               -3.530557026291772e-10               39.640806725745286
4.2               -3.857923731502728e-10               37.33230576133158
4.3               -4.423571029660908e-10               35.15824147640449
4.4               -5.276892542501208e-10               33.11078478088562
4.5               -6.348143888392567e-10               31.182562742661453
4.6               -7.715647224789482e-10               29.366631562189472
4.7               -9.527957817321324e-10               27.656452043159515
4.8               -1.1974174628592088e-09               26.045865574261313
4.9               -1.5348646391761722e-09               24.529072416394744
5.0               -1.99924216136721e-09               23.100610364486624
5.1               -2.6353377664487696e-09               21.755335520929577
5.2               -3.51670318613309e-09               20.488403340492972
5.3               -4.749301988767123e-09               19.29525159724249
5.4               -6.490868963518508e-09               18.17158356777831
5.5               -8.971074609416302e-09               17.113352936959593
5.6               -1.2531069898659409e-08               16.11674893856065
5.7               -1.7667140636057422e-08               15.178182581659874
5.8               -2.5136561108289683e-08               14.294274085929176
5.9               -3.606441863658078e-08               13.461840384553192
6.0               -5.217310343664796e-08               12.677883829781267
6.1               -7.604679716378749e-08               11.939581347806028
6.2               -1.1165480960573662e-07               11.244274241164364
6.3               -1.6503520461795616e-07               10.589458664885349
6.4               -2.454516456730419e-07               9.972776559626583
6.5               -3.672898016679903e-07               9.392007211170036
6.6               -5.52538069499862e-07               8.845059212358912
6.7               -8.359190092834207e-07               8.329962957845382
6.8               -1.2704254716563268e-06               7.844863518998001
6.9               -1.9407341921821005e-06               7.388014004875108
7.0               -2.9759282553376954e-06               6.9577692270398925
7.1               -4.5841893435658215e-06               6.55257980139407
7.2               -7.093754532988858e-06               6.170986553289706
7.3               -1.1016389014441898e-05               5.811615235699515
7.4               -1.7165680137112434e-05               5.473171594406451
7.5               -2.68373629230558e-05               5.15443666295898
7.6               -4.2088903439060454e-05               4.8542623496202975
7.7               -6.619907295857436e-05               4.57156725083273
7.8               -0.00010440685218868163               4.305332680785938
7.9               -0.00016509011978953962               4.054598887286004
8.0               -0.00026169247085920465               3.8184614192104966
